Category	Gene symbol
ECM Glycoproteins	ZPLD1
ECM-affiliated Proteins	ANXA1
ECM-affiliated Proteins	ANXA10
ECM-affiliated Proteins	ANXA11
ECM-affiliated Proteins	ANXA13
ECM-affiliated Proteins	ANXA2
ECM-affiliated Proteins	ANXA2P2
ECM-affiliated Proteins	ANXA3
ECM-affiliated Proteins	ANXA4
ECM-affiliated Proteins	ANXA5
ECM-affiliated Proteins	ANXA6
ECM-affiliated Proteins	ANXA7
ECM-affiliated Proteins	ANXA8
ECM-affiliated Proteins	ANXA8L1
ECM-affiliated Proteins	ANXA8L2
ECM-affiliated Proteins	ANXA9
ECM-affiliated Proteins	BPIFA4P
ECM-affiliated Proteins	C1QA
ECM-affiliated Proteins	C1QB
ECM-affiliated Proteins	C1QC
ECM-affiliated Proteins	C1QL1
ECM-affiliated Proteins	C1QL2
ECM-affiliated Proteins	C1QL3
ECM-affiliated Proteins	C1QL4
ECM-affiliated Proteins	C1QTNF1
ECM-affiliated Proteins	C1QTNF2
ECM-affiliated Proteins	C1QTNF3
ECM-affiliated Proteins	C1QTNF4
ECM-affiliated Proteins	C1QTNF5
ECM-affiliated Proteins	C1QTNF6
ECM-affiliated Proteins	C1QTNF7
ECM-affiliated Proteins	C1QTNF8
ECM-affiliated Proteins	C1QTNF9
ECM-affiliated Proteins	CD209
ECM-affiliated Proteins	CLC
ECM-affiliated Proteins	CLEC10A
ECM-affiliated Proteins	CLEC11A
ECM-affiliated Proteins	CLEC12A
ECM-affiliated Proteins	CLEC12B
ECM-affiliated Proteins	CLEC14A
ECM-affiliated Proteins	CLEC17A
ECM-affiliated Proteins	CLEC18A
ECM-affiliated Proteins	CLEC18B
ECM-affiliated Proteins	CLEC18C
ECM-affiliated Proteins	CLEC19A
ECM-affiliated Proteins	CLEC1A
ECM-affiliated Proteins	CLEC1B
ECM-affiliated Proteins	CLEC2A
ECM-affiliated Proteins	CLEC2B
ECM-affiliated Proteins	CLEC2D
ECM-affiliated Proteins	CLEC2L
ECM-affiliated Proteins	CLEC3A
ECM-affiliated Proteins	CLEC3B
ECM-affiliated Proteins	CLEC4A
ECM-affiliated Proteins	CLEC4C
ECM-affiliated Proteins	CLEC4D
ECM-affiliated Proteins	CLEC4E
ECM-affiliated Proteins	CLEC4F
ECM-affiliated Proteins	CLEC4G
ECM-affiliated Proteins	CLEC4M
ECM-affiliated Proteins	CLEC5A
ECM-affiliated Proteins	CLEC6A
ECM-affiliated Proteins	CLEC7A
ECM-affiliated Proteins	CLEC9A
ECM-affiliated Proteins	COLEC10
ECM-affiliated Proteins	COLEC11
ECM-affiliated Proteins	COLEC12
ECM-affiliated Proteins	CSPG4
ECM-affiliated Proteins	CSPG5
ECM-affiliated Proteins	ELFN1
ECM-affiliated Proteins	ELFN2
ECM-affiliated Proteins	EMCN
ECM-affiliated Proteins	FCN1
ECM-affiliated Proteins	FCN2
ECM-affiliated Proteins	FCN3
ECM-affiliated Proteins	FREM1
ECM-affiliated Proteins	FREM2
ECM-affiliated Proteins	FREM3
ECM-affiliated Proteins	GPC1
ECM-affiliated Proteins	GPC2
ECM-affiliated Proteins	GPC3
ECM-affiliated Proteins	GPC4
ECM-affiliated Proteins	GPC5
ECM-affiliated Proteins	GPC6
ECM-affiliated Proteins	GREM1
ECM-affiliated Proteins	GRIFIN
ECM-affiliated Proteins	HPX
ECM-affiliated Proteins	HSPC159
ECM-affiliated Proteins	ITLN1
ECM-affiliated Proteins	ITLN2
ECM-affiliated Proteins	LGALS1
ECM-affiliated Proteins	LGALS12
ECM-affiliated Proteins	LGALS13
ECM-affiliated Proteins	LGALS14
ECM-affiliated Proteins	LGALS16
ECM-affiliated Proteins	LGALS2
ECM-affiliated Proteins	LGALS3
ECM-affiliated Proteins	LGALS4
ECM-affiliated Proteins	LGALS7
ECM-affiliated Proteins	LGALS8
ECM-affiliated Proteins	LGALS9
ECM-affiliated Proteins	LGALS9B
ECM-affiliated Proteins	LGALS9C
ECM-affiliated Proteins	LMAN1
ECM-affiliated Proteins	LOC400696
ECM-affiliated Proteins	LOC729792
ECM-affiliated Proteins	MBL1P
ECM-affiliated Proteins	MBL2
ECM-affiliated Proteins	MUC1
ECM-affiliated Proteins	MUC12
ECM-affiliated Proteins	MUC13
ECM-affiliated Proteins	MUC15
ECM-affiliated Proteins	MUC16
ECM-affiliated Proteins	MUC17
ECM-affiliated Proteins	MUC19
ECM-affiliated Proteins	MUC2
ECM-affiliated Proteins	MUC20
ECM-affiliated Proteins	MUC21
ECM-affiliated Proteins	MUC3A
ECM-affiliated Proteins	MUC4
ECM-affiliated Proteins	MUC5AC
ECM-affiliated Proteins	MUC5B
ECM-affiliated Proteins	MUC6
ECM-affiliated Proteins	MUC7
ECM-affiliated Proteins	MUC8
ECM-affiliated Proteins	MUCL1
ECM-affiliated Proteins	NCRNA00083
ECM-affiliated Proteins	OVGP1
ECM-affiliated Proteins	PARM1
ECM-affiliated Proteins	PLXDC1
ECM-affiliated Proteins	PLXDC2
ECM-affiliated Proteins	PLXNA1
ECM-affiliated Proteins	PLXNA2
ECM-affiliated Proteins	PLXNA3
ECM-affiliated Proteins	PLXNA4
ECM-affiliated Proteins	PLXNB1
ECM-affiliated Proteins	PLXNB2
ECM-affiliated Proteins	PLXNB3
ECM-affiliated Proteins	PLXNC1
ECM-affiliated Proteins	PLXND1
ECM-affiliated Proteins	PROL1
ECM-affiliated Proteins	REG1A
ECM-affiliated Proteins	REG1B
ECM-affiliated Proteins	REG3A
ECM-affiliated Proteins	REG3G
ECM-affiliated Proteins	REG4
ECM-affiliated Proteins	SDC1
ECM-affiliated Proteins	SDC2
ECM-affiliated Proteins	SDC3
ECM-affiliated Proteins	SDC4
ECM-affiliated Proteins	SEMA3A
ECM-affiliated Proteins	SEMA3B
ECM-affiliated Proteins	SEMA3C
ECM-affiliated Proteins	SEMA3D
ECM-affiliated Proteins	SEMA3E
ECM-affiliated Proteins	SEMA3F
ECM-affiliated Proteins	SEMA3G
ECM-affiliated Proteins	SEMA4A
ECM-affiliated Proteins	SEMA4B
ECM-affiliated Proteins	SEMA4C
ECM-affiliated Proteins	SEMA4D
ECM-affiliated Proteins	SEMA4F
ECM-affiliated Proteins	SEMA4G
ECM-affiliated Proteins	SEMA5A
ECM-affiliated Proteins	SEMA5B
ECM-affiliated Proteins	SEMA6A
ECM-affiliated Proteins	SEMA6B
ECM-affiliated Proteins	SEMA6C
ECM-affiliated Proteins	SEMA6D
ECM-affiliated Proteins	SEMA7A
ECM-affiliated Proteins	SFTA2
ECM-affiliated Proteins	SFTA3
ECM-affiliated Proteins	SFTPA1
ECM-affiliated Proteins	SFTPA2
ECM-affiliated Proteins	SFTPB
ECM-affiliated Proteins	SFTPC
ECM-affiliated Proteins	SFTPD
ECM Regulators	A2M
ECM Regulators	A2ML1
ECM Regulators	ADAM1
ECM Regulators	ADAM10
ECM Regulators	ADAM11
ECM Regulators	ADAM12
ECM Regulators	ADAM15
ECM Regulators	ADAM17
ECM Regulators	ADAM18
ECM Regulators	ADAM19
ECM Regulators	ADAM2
ECM Regulators	ADAM20
ECM Regulators	ADAM21
ECM Regulators	ADAM21P1
ECM Regulators	ADAM22
ECM Regulators	ADAM23
ECM Regulators	ADAM28
ECM Regulators	ADAM29
ECM Regulators	ADAM30
ECM Regulators	ADAM32
ECM Regulators	ADAM33
ECM Regulators	ADAM3A
ECM Regulators	ADAM3B
ECM Regulators	ADAM5P
ECM Regulators	ADAM6
ECM Regulators	ADAM7
ECM Regulators	ADAM8
ECM Regulators	ADAM9
ECM Regulators	ADAMDEC1
ECM Regulators	ADAMTS1
ECM Regulators	ADAMTS10
ECM Regulators	ADAMTS12
ECM Regulators	ADAMTS13
ECM Regulators	ADAMTS14
ECM Regulators	ADAMTS15
ECM Regulators	ADAMTS16
ECM Regulators	ADAMTS17
ECM Regulators	ADAMTS18
ECM Regulators	ADAMTS19
ECM Regulators	ADAMTS2
ECM Regulators	ADAMTS20
ECM Regulators	ADAMTS3
ECM Regulators	ADAMTS4
ECM Regulators	ADAMTS5
ECM Regulators	ADAMTS6
ECM Regulators	ADAMTS7
ECM Regulators	ADAMTS8
ECM Regulators	ADAMTS9
ECM Regulators	ADAMTSL1
ECM Regulators	ADAMTSL2
ECM Regulators	ADAMTSL3
ECM Regulators	ADAMTSL4
ECM Regulators	ADAMTSL5
ECM Regulators	AGT
ECM Regulators	AMBP
ECM Regulators	ASTL
ECM Regulators	BMP1
ECM Regulators	C17orf101
ECM Regulators	C17orf58
ECM Regulators	CD109
ECM Regulators	CELA1
ECM Regulators	CELA2A
ECM Regulators	CELA2B
ECM Regulators	CELA3A
ECM Regulators	CELA3B
ECM Regulators	CPAMD8
ECM Regulators	CPN2
ECM Regulators	CST1
ECM Regulators	CST11
ECM Regulators	CST2
ECM Regulators	CST3
ECM Regulators	CST4
ECM Regulators	CST5
ECM Regulators	CST6
ECM Regulators	CST7
ECM Regulators	CST8
ECM Regulators	CST9
ECM Regulators	CST9L
ECM Regulators	CST9L2
ECM Regulators	CSTA
ECM Regulators	CSTB
ECM Regulators	CSTL1
ECM Regulators	CTSA
ECM Regulators	CTSB
ECM Regulators	CTSC
ECM Regulators	CTSD
ECM Regulators	CTSE
ECM Regulators	CTSF
ECM Regulators	CTSG
ECM Regulators	CTSH
ECM Regulators	CTSK
ECM Regulators	CTSL1
ECM Regulators	CTSL2
ECM Regulators	CTSL3
ECM Regulators	CTSLL6
ECM Regulators	CTSO
ECM Regulators	CTSS
ECM Regulators	CTSW
ECM Regulators	CTSZ
ECM Regulators	EGLN1
ECM Regulators	EGLN2
ECM Regulators	EGLN3
ECM Regulators	ELANE
ECM Regulators	F10
ECM Regulators	F12
ECM Regulators	F13A1
ECM Regulators	F13B
ECM Regulators	F2
ECM Regulators	F7
ECM Regulators	F9
ECM Regulators	HABP2
ECM Regulators	HMSD
ECM Regulators	HPSE
ECM Regulators	HPSE2
ECM Regulators	HRG
ECM Regulators	HTRA1
ECM Regulators	HTRA3
ECM Regulators	HTRA4
ECM Regulators	HYAL1
ECM Regulators	HYAL2
ECM Regulators	HYAL3
ECM Regulators	HYAL4
ECM Regulators	HYALP1
ECM Regulators	ITIH1
ECM Regulators	ITIH2
ECM Regulators	ITIH3
ECM Regulators	ITIH4
ECM Regulators	ITIH5
ECM Regulators	ITIH5L
ECM Regulators	KAZALD1
ECM Regulators	KNG1
ECM Regulators	KY
ECM Regulators	LEPRE1
ECM Regulators	LEPREL1
ECM Regulators	LEPREL2
ECM Regulators	LOC100133189
ECM Regulators	LOC644021
ECM Regulators	LOC728715
COL Mod	LOX
COL Mod	LOXL1
COL Mod	LOXL2
COL Mod	LOXL3
COL Mod	LOXL4
ECM Regulators	LPA
ECM Regulators	LPAL2
ECM Regulators	MASP1
ECM Regulators	MASP2
ECM Regulators	MEP1A
ECM Regulators	MEP1B
ECM Regulators	MMP1
ECM Regulators	MMP10
ECM Regulators	MMP11
ECM Regulators	MMP12
ECM Regulators	MMP13
ECM Regulators	MMP14
ECM Regulators	MMP15
ECM Regulators	MMP16
ECM Regulators	MMP17
ECM Regulators	MMP19
ECM Regulators	MMP2
ECM Regulators	MMP20
ECM Regulators	MMP21
ECM Regulators	MMP23B
ECM Regulators	MMP24
ECM Regulators	MMP25
ECM Regulators	MMP26
ECM Regulators	MMP27
ECM Regulators	MMP28
ECM Regulators	MMP3
ECM Regulators	MMP7
ECM Regulators	MMP8
ECM Regulators	MMP9
ECM Regulators	NGLY1
ECM Regulators	OGFOD1
ECM Regulators	OGFOD2
ECM Regulators	OVOS1
ECM Regulators	OVOS2
ECM Regulators	P4HA1
ECM Regulators	P4HA2
ECM Regulators	P4HA3
ECM Regulators	P4HTM
ECM Regulators	PAMR1
ECM Regulators	PAPPA
ECM Regulators	PAPPA2
ECM Regulators	PCSK5
ECM Regulators	PCSK6
ECM Regulators	PI3
ECM Regulators	PLAT
ECM Regulators	PLAU
ECM Regulators	PLG
COL Mod	PLOD1
COL Mod	PLOD2
COL Mod	PLOD3
ECM Regulators	PRSS12
ECM Regulators	PRSS2
ECM Regulators	PRSS3
ECM Regulators	PRSS7
ECM Regulators	PZP
ECM Regulators	SERPINA1
ECM Regulators	SERPINA10
ECM Regulators	SERPINA11
ECM Regulators	SERPINA12
ECM Regulators	SERPINA13
ECM Regulators	SERPINA2
ECM Regulators	SERPINA3
ECM Regulators	SERPINA4
ECM Regulators	SERPINA5
ECM Regulators	SERPINA6
ECM Regulators	SERPINA7
ECM Regulators	SERPINA9
ECM Regulators	SERPINB1
ECM Regulators	SERPINB10
ECM Regulators	SERPINB11
ECM Regulators	SERPINB12
ECM Regulators	SERPINB13
ECM Regulators	SERPINB2
ECM Regulators	SERPINB3
ECM Regulators	SERPINB4
ECM Regulators	SERPINB5
ECM Regulators	SERPINB6
ECM Regulators	SERPINB7
ECM Regulators	SERPINB8
ECM Regulators	SERPINB9
